genre,title,artist,album,popularity,spotify_url
Indie Pop,One More Hour,Tame Impala,The Slow Rush,73,https://open.spotify.com/track/0mO6oS60RST2sWmN2FKknP
Indie Pop,Steeeam,Shelly,Shelly,72,https://open.spotify.com/track/09RamrocZneYcLYLRIxYha
Indie Pop,back to friends,sombr,back to friends,93,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6
Indie Pop,still love you (todavía),The Two Lips,still love you (todavía),72,https://open.spotify.com/track/0gmKvcuqpmLqEXFE3bRxtc
Indie Pop,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo",Nothing Happens,76,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
Indie Pop,Mama's Boy,Dominic Fike,Sunburn,72,https://open.spotify.com/track/0b6xZk9f96N77BfmYWnQNC
Indie Pop,Pretty Girl,Clairo,Pretty Girl,76,https://open.spotify.com/track/27g0ztD0kKcDJRrIFDl8q8
Indie Pop,Slow Dance,Clairo,Charm,75,https://open.spotify.com/track/2qmmnbJ9JR3f7vofbyje5r
Indie Pop,Best Friend,Rex Orange County,Best Friend,78,https://open.spotify.com/track/3rPtS4nfpy7PsARctAWpzd
Indie Pop,Run Your Mouth,The Marías,Submarine,74,https://open.spotify.com/track/19fKJrO9XdOf6Xla2QHecO
Indie Pop,Sexy to Someone,Clairo,Charm,72,https://open.spotify.com/track/3awweDjWIuXNMogMClJnvE
Indie Pop,Apple Cider,beabadoobee,Loveworm,77,https://open.spotify.com/track/5xA5MggKc3aQxuOzNzPUWB
Indie Pop,Show Me How,Men I Trust,Show Me How,80,https://open.spotify.com/track/75IQVo8hqI1iwVZyvkN2VT
Indie Pop,Feel It,d4vd,WITHERED,77,https://open.spotify.com/track/51TCxtQ1u4Qi655ekjDCZD
Indie Pop,Sofia,Clairo,Immunity,79,https://open.spotify.com/track/0za55KLGfhCOr2TC4RM6dr
Indie Pop,Beaches,beabadoobee,This Is How Tomorrow Moves,79,https://open.spotify.com/track/1a19jsjG2DvbN1fVJonKUU
Indie Pop,we fell in love in october,girl in red,we fell in love in october / October Passed Me By,87,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl
Indie Pop,"Sally, When The Wine Runs Out",ROLE MODEL,Kansas Anymore (The Longest Goodbye),82,https://open.spotify.com/track/2J051fjLklkoPbzOoTAACZ
Indie Pop,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,75,https://open.spotify.com/track/5xo8RrjJ9CVNrtRg2S3B1R
Indie Pop,Electric Love,BØRNS,Dopamine,79,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
Indie Pop,12 to 12,sombr,12 to 12,85,https://open.spotify.com/track/6MrLkXsMmHaYt680fhJUAq
Synthpop,Hot Blooded,New Constellations,Hot Blooded,75,https://open.spotify.com/track/1ElySIlHwm1HX7sUjAZZnp
Synthpop,I Ran (So Far Away) - Single Edit,A Flock Of Seagulls,A Flock Of Seagulls (Deluxe),62,https://open.spotify.com/track/0nIDF0qdk5iAIla7rZxxys
Electropop,Cry for Me,Magdalena Bay,Imaginal Disk,60,https://open.spotify.com/track/4rVs9KjC3YVA7v54kVSHUV
Electropop,u don't have to tell me,Artemas,eat me alive / u don't have to tell me,66,https://open.spotify.com/track/6U5AgSYUubKMrMDEazfSsF
Electropop,Capital Letters,"Hailee Steinfeld, BloodPop®",Fifty Shades Freed (Original Motion Picture Soundtrack),70,https://open.spotify.com/track/6l0Ky2PycJV1Bz88kFeVGL
Electropop,Close To Me,"Ellie Goulding, Diplo, Swae Lee",Brightest Blue,63,https://open.spotify.com/track/2GjMaJ7DacMIkgoe8oMXGg
Electropop,Capsize,"FRENSHIP, Emily Warren",Truce - EP,65,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
Electropop,Andromeda (feat. DRAM),"Gorillaz, DRAM",Humanz (Deluxe),66,https://open.spotify.com/track/2C0KFbb4v9CNWR5c9jWcKC
Electropop,Your Man,Joji,Nectar,64,https://open.spotify.com/track/4J2HQow52pFt9olOHnYTbk
Electropop,I Wanna Know (feat. Bea Miller),"NOTD, Bea Miller",I Wanna Know (feat. Bea Miller),62,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
Electropop,Shelter,"Porter Robinson, Madeon",Shelter,63,https://open.spotify.com/track/2ewEh7LuvToYyGHq7yT8N1
Electropop,Stars Will Align,"Kygo, Imagine Dragons",Stars Will Align,71,https://open.spotify.com/track/5REMa10O4aA2mLtYyflWxs
Electropop,Stole the Show,"Kygo, Parson James",Cloud Nine,75,https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7
Electropop,Cure For Me,AURORA,The Gods We Can Touch,62,https://open.spotify.com/track/33WTgxRdPBQQpVCMXpNxhO
Electropop,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),72,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
Electropop,Reality,"Lost Frequencies, Janieck",Less Is More,76,https://open.spotify.com/track/1Mys1gf9SkMBAVGGxpkJ7d
Electropop,Electricity,"Silk City, Dua Lipa, Mark Ronson, Diplo",Electricity,68,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
Electropop,3 Strikes,Terror Jr,Bop City,67,https://open.spotify.com/track/1mZF9TEc7gpw7by7NCZSKr
Electropop,Graveyard,Halsey,Manic,63,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67
Electropop,More Than You Know,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",More Than You Know,78,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
Electropop,Are You With Me,Lost Frequencies,Less Is More,79,https://open.spotify.com/track/4255amV4enzl28KAn16rUO
Electropop,Now Or Never,Halsey,hopeless fountain kingdom (Deluxe Plus),64,https://open.spotify.com/track/126oeltvIg79HHP4yAi4rq
Electropop,Just Your Doll,Snow Strippers,Just Your Doll,72,https://open.spotify.com/track/18n0voG6fG03ogJznGiyWD
Electropop,Death & Romance,Magdalena Bay,Imaginal Disk,63,https://open.spotify.com/track/5m3rVRNkTv5EQnPuF293we
Electropop,Way To Go,Empire Of The Sun,Two Vines (Deluxe),67,https://open.spotify.com/track/6pEkPmzBPy4EVjyiIVKlJg
Electropop,High And Low,Empire Of The Sun,Two Vines (Deluxe),68,https://open.spotify.com/track/34WI9hCaE3AzbOYT9wFXLP
Electropop,Be the One,Dua Lipa,Dua Lipa (Deluxe),74,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
Electropop,Colors,Halsey,BADLANDS,72,https://open.spotify.com/track/1TnUURhehaoMWKAqQtirm6
Electropop,Fast Car,"Jonas Blue, Dakota",Blue,73,https://open.spotify.com/track/1SN1vSPsr4V4tIUTR3s8YW
Electropop,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),71,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
Electropop,Here With Me,"Marshmello, CHVRCHES",Here With Me,73,https://open.spotify.com/track/2jpKZFnBk98Ud3EoZiBOTf
Electropop,This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",Layers,77,https://open.spotify.com/track/1A8j067qyiNwQnZT0bzUpZ
Electropop,Image,Magdalena Bay,Imaginal Disk,68,https://open.spotify.com/track/0QW0KPBXXv67haGjbtkRRB
Electropop,I Follow Rivers - The Magician Remix,"Lykke Li, The Magician",Wounded Rhymes (Anniversary Edition),72,https://open.spotify.com/track/3zNNXjjjeLrzIXSJZKalDi
Electropop,Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,82,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
Electropop,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar,79,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
Electropop,Bulletproof,"La Roux, GAMPER & DADONI",Bulletproof,70,https://open.spotify.com/track/0SyxZC4wlqAwf20cHE6Xon
Electropop,Gold,Kiiara,lil kiiwi,66,https://open.spotify.com/track/7yNX3ZFBWZoR52pbeU4Mcl
Electropop,Middle,"DJ Snake, Bipolar Sunshine",Encore,77,https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK
Electropop,Paris,The Chainsmokers,Memories...Do Not Open,79,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
Electropop,Sympathy is a knife featuring ariana grande,"Charli xcx, Ariana Grande",Brat and it’s completely different but also still brat,63,https://open.spotify.com/track/3nQ24dxqvxZEVwlHTeuLz0
Electropop,No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,83,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
Electropop,Closer,"The Chainsmokers, Halsey",Closer,86,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
Electropop,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",80,https://open.spotify.com/track/0vbtURX4qv1l7besfwmnD8
Electropop,Let Me Love You,"DJ Snake, Justin Bieber",Encore,86,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
Electropop,Roses,"The Chainsmokers, ROZES",Roses,80,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
Electropop,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",FRIENDS KEEP SECRETS,77,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
Electropop,Without Me,Halsey,Manic,83,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
Electropop,Bad At Love,Halsey,hopeless fountain kingdom (Deluxe Plus),80,https://open.spotify.com/track/3OzCF9i6Ey7EkkAYJztmKp
Hyperpop,4K CARPET,passengerprincess,4K CARPET,60,https://open.spotify.com/track/284qRqsftKxNPWrejNEewL
Hyperpop,Tongue,GFOTY,GFOTYBUCKS,64,https://open.spotify.com/track/38oHqKpGqxHkl6jR5CTqVT
Hyperpop,Daisy 2.0 (feat. Hatsune Miku),"Ashnikko, Hatsune Miku",Daisy 2.0 (feat. Hatsune Miku),60,https://open.spotify.com/track/0s8RXkQW9lwGEV6WlG8KDq
Hyperpop,where's my head at _,"Basement Jaxx, 100 gecs",where's my head at _,66,https://open.spotify.com/track/1hJN8hZvzEvOvqX32jSSrw
Hyperpop,ON THE FLOOR!,"removeface, xoni",ON THE FLOOR!,64,https://open.spotify.com/track/3j9Ivwkg9sYcaR9mlnjsAX
Hyperpop,afraid (feat. nate sib),"2hollis, nate sib",afraid (feat. nate sib),62,https://open.spotify.com/track/41YlWhySoJVw2TXaxW1q5G
Hyperpop,Haunted,Laura Les,Haunted,67,https://open.spotify.com/track/1toNKayLMeCcVlsLGXJl7n
Hyperpop,party addict,"kets4eki, Nosgov, kojo",party addict,63,https://open.spotify.com/track/0i5Lv2pnFSqZopukoniHcv
Hyperpop,Unlock it (Lock It) - feat. Kim Petras and Jay Park,"Charli xcx, Kim Petras, Jay Park",Pop 2,64,https://open.spotify.com/track/3qGHAKgjQruzj6doKkyEb5
Hyperpop,EYES ON ME,asteria,ASTERIA VOL. 1,65,https://open.spotify.com/track/6fZuK9dEb5s9jWQRhiiJhO
Hyperpop,so bitter,Stxlkin,so bitter,64,https://open.spotify.com/track/0iVniNFwQ3WbZTiEHujQeX
Hyperpop,PUSH UR T3MPRR,femtanyl,PUSH UR T3MPRR,61,https://open.spotify.com/track/5NO5HPCDG8Y0ErpAISWQOJ
Hyperpop,LET ME IN,CG5,LET ME IN,61,https://open.spotify.com/track/3BH1bCV8rKSRLRtXr7B7CT
Hyperpop,trauma,2hollis,trauma,61,https://open.spotify.com/track/0jNhSK5gotdRB1G4nMqEau
Hyperpop,Go (Xtayalive 2),"Kanii, 9lives",Go (Xtayalive 2),65,https://open.spotify.com/track/1slDsIJxew9AOOA3v0xFzn
Hyperpop,claws,Charli xcx,how i'm feeling now,62,https://open.spotify.com/track/7Dexi5Z2IowCkHrnzlWysc
Hyperpop,SAINT,bunii,SIX,61,https://open.spotify.com/track/5mm1Xj7WCqTHpP60kxrVZB
Hyperpop,cliche,2hollis,whiplash / cliche,63,https://open.spotify.com/track/2oRNyf4qlAzGz6LljMcDJp
Hyperpop,SugarCrash!,ElyOtto,SugarCrash!,67,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
Hyperpop,ecstacy,SUICIDAL-IDOL,ecstacy,66,https://open.spotify.com/track/2CIlKt4lRwAAUx5fYgCBxN
Hyperpop,NASTYWERKKKK!,"femtanyl, ISSBROKIE",NASTYWERKKKK!,61,https://open.spotify.com/track/7kvQptbfqq5b4MWRQOMrZC
Hyperpop,KATAMARI,femtanyl,KATAMARI,63,https://open.spotify.com/track/5iAE3uBqaZm9aHUx9yy6a0
Hyperpop,DOUBLE TROUBLE,Odetari,DOUBLE TROUBLE,62,https://open.spotify.com/track/0EvsatxXGGHUxaAlksEeNK
